regiao;tipo_estabelecimento;ano;resultado;n_conformidades;tempo_resolucao;tipo_conformidade;gravidade_conformidade;tamanho_estabelecimento;numero_fiscalizacoes_previas;tipo_acao_corretiva;status_acao_corretiva;categoria_produtos;licenca_valida;dias_desde_ultima_fiscalizacao;inspecao_planejada;fiscal_responsavel
Sudeste;Indústria de Cosméticos;2019;Conforme;5;44;Registro de Produtos;Baixa;Pequeno;0;Adequação de Processo;Concluída;Alimentos;Sim;86;Planejada;1039
Sul;Indústria de Saneantes;2021;Não Conforme;0;180;Boas Práticas de Fabricação;Baixa;Grande;1;Adequação de Processo;Em Progresso;Alimentos;Sim;296;Planejada;1097
Centro-Oeste;Indústria de Cosméticos;2018;Não Conforme;3;76;Rotulagem;Alta;Pequeno;1;Melhoria de Infraestrutura;Concluída;Cosméticos;Sim;452;Não Planejada;1049
Sul;Hospital;2022;Conforme;5;144;Rotulagem;Baixa;Médio;4;Requalificação de Pessoal;Concluída;Alimentos;Sim;171;Não Planejada;1073
Sul;Indústria de Saneantes;2019;Não Conforme;5;101;Condições Sanitárias;Alta;Pequeno;2;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;356;Planejada;1066
Nordeste;Distribuidora;2022;Conforme;2;272;Boas Práticas de Fabricação;Baixa;Médio;0;Requalificação de Pessoal;Concluída;Cosméticos;Não;460;Planejada;1097
Centro-Oeste;Laboratório;2022;Conforme;5;55;Armazenamento;Baixa;Grande;1;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;279;Não Planejada;1034
Centro-Oeste;Laboratório;2021;Conforme;9;189;Registro de Produtos;Baixa;Pequeno;4;Melhoria de Infraestrutura;Pendente;Cosméticos;Não;252;Planejada;1063
Centro-Oeste;Distribuidora;2019;Não Conforme;5;351;Armazenamento;Baixa;Grande;1;Adequação de Processo;Pendente;Saneantes;Sim;8;Planejada;1036
Sul;Distribuidora;2023;Não Conforme;8;335;Armazenamento;Média;Grande;2;Requalificação de Pessoal;Em Progresso;Alimentos;Não;586;Não Planejada;1044
Sudeste;Distribuidora;2022;Conforme;8;77;Registro de Produtos;Média;Médio;3;Reformulação de Produtos;Pendente;Saneantes;Não;320;Não Planejada;1037
Centro-Oeste;Clínica;2019;Conforme;1;296;Rotulagem;Média;Grande;0;Reformulação de Produtos;Pendente;Saneantes;Não;151;Não Planejada;1086
Sul;Indústria de Saneantes;2020;Conforme;3;219;Condições Sanitárias;Alta;Pequeno;3;Adequação de Processo;Pendente;Medicamentos;Não;605;Planejada;1084
Nordeste;Laboratório;2023;Conforme;8;277;Rotulagem;Alta;Grande;2;Adequação de Processo;Em Progresso;Medicamentos;Sim;376;Não Planejada;1026
Sudeste;Indústria de Saneantes;2020;Não Conforme;3;66;Rotulagem;Alta;Médio;3;Melhoria de Infraestrutura;Concluída;Saneantes;Não;365;Não Planejada;1064
Nordeste;Indústria de Cosméticos;2020;Conforme;7;136;Boas Práticas de Fabricação;Alta;Médio;2;Requalificação de Pessoal;Pendente;Medicamentos;Sim;608;Não Planejada;1072
Sudeste;Laboratório;2022;Não Conforme;9;234;Armazenamento;Média;Grande;2;Melhoria de Infraestrutura;Concluída;Saneantes;Não;440;Não Planejada;1002
Sul;Clínica;2020;Conforme;2;199;Armazenamento;Alta;Médio;4;Reformulação de Produtos;Concluída;Medicamentos;Sim;142;Não Planejada;1058
Norte;Distribuidora;2021;Não Conforme;2;266;Armazenamento;Alta;Grande;3;Reformulação de Produtos;Pendente;Alimentos;Não;592;Planejada;1099
Sudeste;Hospital;2021;Não Conforme;8;43;Condições Sanitárias;Alta;Médio;1;Requalificação de Pessoal;Pendente;Cosméticos;Sim;20;Não Planejada;1097
Nordeste;Distribuidora;2022;Não Conforme;9;361;Condições Sanitárias;Baixa;Grande;2;Requalificação de Pessoal;Concluída;Medicamentos;Sim;12;Não Planejada;1029
Sul;Distribuidora;2019;Não Conforme;7;228;Condições Sanitárias;Alta;Grande;3;Reformulação de Produtos;Pendente;Cosméticos;Não;636;Planejada;1094
Sudeste;Clínica;2018;Não Conforme;0;227;Registro de Produtos;Baixa;Pequeno;1;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;122;Não Planejada;1093
Norte;Indústria de Saneantes;2019;Conforme;9;63;Condições Sanitárias;Alta;Pequeno;0;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;425;Planejada;1015
Norte;Laboratório;2019;Conforme;1;171;Boas Práticas de Fabricação;Alta;Grande;1;Melhoria de Infraestrutura;Pendente;Medicamentos;Não;229;Planejada;1028
Centro-Oeste;Distribuidora;2019;Não Conforme;2;250;Boas Práticas de Fabricação;Baixa;Pequeno;3;Requalificação de Pessoal;Concluída;Medicamentos;Sim;597;Não Planejada;1069
Centro-Oeste;Laboratório;2019;Conforme;1;338;Rotulagem;Alta;Pequeno;3;Adequação de Processo;Pendente;Cosméticos;Não;29;Não Planejada;1077
Nordeste;Farmácia;2023;Conforme;2;250;Rotulagem;Baixa;Médio;1;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;135;Planejada;1073
Sudeste;Indústria de Cosméticos;2018;Conforme;7;307;Rotulagem;Alta;Pequeno;1;Reformulação de Produtos;Concluída;Medicamentos;Sim;552;Não Planejada;1087
Sudeste;Indústria de Saneantes;2023;Conforme;5;238;Rotulagem;Alta;Médio;2;Adequação de Processo;Pendente;Cosméticos;Não;101;Não Planejada;1099
Centro-Oeste;Laboratório;2020;Conforme;6;56;Boas Práticas de Fabricação;Baixa;Pequeno;3;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;376;Não Planejada;1023
Sudeste;Hospital;2019;Conforme;9;171;Rotulagem;Média;Pequeno;2;Requalificação de Pessoal;Concluída;Saneantes;Sim;646;Não Planejada;1006
Sudeste;Indústria de Cosméticos;2021;Conforme;9;34;Boas Práticas de Fabricação;Baixa;Grande;2;Reformulação de Produtos;Em Progresso;Saneantes;Sim;311;Não Planejada;1048
Norte;Hospital;2022;Não Conforme;5;315;Condições Sanitárias;Média;Pequeno;0;Requalificação de Pessoal;Pendente;Alimentos;Sim;440;Planejada;1062
Centro-Oeste;Distribuidora;2022;Conforme;0;130;Condições Sanitárias;Baixa;Grande;3;Melhoria de Infraestrutura;Pendente;Cosméticos;Não;693;Planejada;1045
Sul;Indústria de Cosméticos;2023;Conforme;2;130;Registro de Produtos;Média;Grande;2;Adequação de Processo;Em Progresso;Medicamentos;Não;457;Planejada;1047
Centro-Oeste;Laboratório;2023;Conforme;0;151;Rotulagem;Alta;Grande;0;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;200;Planejada;1024
Sul;Indústria de Cosméticos;2021;Não Conforme;9;143;Condições Sanitárias;Média;Grande;2;Reformulação de Produtos;Em Progresso;Alimentos;Sim;721;Planejada;1042
Norte;Distribuidora;2019;Não Conforme;8;118;Condições Sanitárias;Alta;Pequeno;2;Adequação de Processo;Em Progresso;Alimentos;Sim;600;Planejada;1054
Nordeste;Clínica;2018;Conforme;8;204;Armazenamento;Baixa;Grande;3;Reformulação de Produtos;Em Progresso;Medicamentos;Sim;125;Não Planejada;1033
Sudeste;Indústria de Saneantes;2020;Não Conforme;4;235;Armazenamento;Média;Pequeno;1;Requalificação de Pessoal;Concluída;Alimentos;Sim;471;Não Planejada;1064
Norte;Hospital;2022;Não Conforme;3;17;Boas Práticas de Fabricação;Alta;Pequeno;1;Adequação de Processo;Pendente;Alimentos;Sim;22;Planejada;1027
Sudeste;Distribuidora;2020;Conforme;8;82;Registro de Produtos;Baixa;Médio;3;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;50;Planejada;1040
Nordeste;Clínica;2018;Não Conforme;8;14;Armazenamento;Média;Médio;1;Requalificação de Pessoal;Em Progresso;Alimentos;Sim;726;Não Planejada;1028
Nordeste;Indústria de Cosméticos;2023;Conforme;2;81;Registro de Produtos;Alta;Médio;4;Requalificação de Pessoal;Concluída;Alimentos;Sim;560;Não Planejada;1031
Norte;Indústria de Cosméticos;2022;Não Conforme;4;207;Condições Sanitárias;Média;Grande;1;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;66;Não Planejada;1068
